segment/predict: weights=['yolov5s-seg.pt'], source=data/video/Gurkenvideo.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=runs/predict-seg, name=exp, exist_ok=False, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1, retina_masks=False
YOLOv5 🚀 v7.0-365-g12b577c8 Python-3.10.12 torch-2.4.0+cu121 CUDA:0 (Tesla T4, 15102MiB)

Downloading https://github.com/ultralytics/yolov5/releases/download/v7.0/yolov5s-seg.pt to yolov5s-seg.pt...
100% 14.9M/14.9M [00:00<00:00, 32.7MB/s]

Fusing layers... 
YOLOv5s-seg summary: 224 layers, 7611485 parameters, 0 gradients, 26.4 GFLOPs
WARNING ⚠️ NMS time limit 0.550s exceeded
video 1/1 (382/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 12.3ms
video 1/1 (385/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 12.3ms
video 1/1 (389/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 13.4ms
video 1/1 (422/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 scissors, 12.3ms
video 1/1 (430/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 broccoli, 12.3ms
video 1/1 (441/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (445/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 19.6ms
video 1/1 (446/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 13.0ms
video 1/1 (447/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (448/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (449/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (450/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (451/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (461/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (490/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 broccoli, 12.3ms
video 1/1 (527/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 broccoli, 12.4ms
video 1/1 (631/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (632/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (634/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (635/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (636/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (637/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (638/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (639/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (640/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (644/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (646/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.2ms
video 1/1 (649/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
